Index,doi
1,10.1007/s10854-019-02201-3
2,10.1007/s10854-019-02201-3
3,10.1007/s10854-019-02201-3
4,10.1007/s10854-019-02201-3
5,10.1007/s10854-019-02201-3
6,10.1007/s10854-019-02201-3
7,10.1007/s10854-019-02201-3
8,http://dx.doi.org/10.1021/acsnano.9b05960
9,https://doi.org/10.1016/j.jpowsour.2012.11.144
10,http://dx.doi.org/10.1016/j.jpowsour.2012.11.144
11,https://doi.org/10.1016/j.matlet.2019.06.047
12,10.3390/batteries5040069
13,https://doi.org/10.1021/jp506731v
14,https://doi.org/10.1021/jp506731v
15,https://doi.org/10.1021/jp506731v
16,https://doi.org/10.1021/jp506731v
17,https://doi.org/10.1021/jp506731v
18,https://doi.org/10.1007/s10854-019-02201-3
19,10.3390/batteries5040069
20,https://doi.org/10.1016/j.electacta.2018.01.130
21,https://doi.org/10.1016/j.jpowsour.2015.06.059
22,10.1021/am5017649
23,10.1007/s10800-009-0057-2
24,10.1007/s10800-009-0057-2
25,https://doi.org/10.1016/j.jpowsour.2009.07.052
26,https://doi.org/10.1016/j.electacta.2018.01.130
27,https://doi.org/10.1016/j.electacta.2013.07.020
28,https://doi.org/10.1007/s10854-019-02315-8
29,10.3390/batteries5040069
30,10.1016/j.jpowsour.2012.12.042
31,https://doi.org/10.1016/j.ceramint.2015.05.102
32,https://doi.org/10.1016/j.jpowsour.2014.06.106
33,https://doi.org/10.1016/j.jpowsour.2012.08.031
34,doi:10.1016/j.electacta.2010.12.049
35,doi:10.1016/j.electacta.2010.12.049
36,doi:10.1016/j.electacta.2010.12.049
37,doi:10.1016/j.electacta.2010.12.049
38,https://doi.org/10.1016/j.ijhydene.2018.04.203
39,https://doi.org/10.1016/j.ijhydene.2018.04.203
40,https://doi.org/10.1016/j.jallcom.2019.152023
41,https://doi.org/10.1016/j.ceramint.2019.06.176
42,https://doi.org/10.1016/j.ceramint.2019.06.176
43,10.1149/2.0511903jes
44,10.1021/acsami.7b04726
45,10.1149/2.0511903jes
46,https://doi.org/10.1016/j.nanoen.2017.04.007
47,"10.1039/C2CP42068F (Paper) Phys. Chem. Chem. Phys., 2012, 14, 12875-12883"
48,https://doi.org/10.1002/anie.201506408
49,https://doi.org/10.1016/j.electacta.2013.07.069
50,https://doi.org/10.1016/j.electacta.2013.08.002
51,10.1007/s11581-019-03033-1
52,10.1016/j.ceramint.2019.06.261
53,10.1007/s10854-019-02315-8
54,doi:10.1016/j.electacta.2010.12.049
55,doi:10.1016/j.electacta.2010.12.049
56,doi:10.1016/j.electacta.2010.12.049
57,doi:10.1016/j.electacta.2010.12.049
58,doi:10.1016/j.electacta.2010.12.049
59,doi:10.1016/j.electacta.2010.12.049
60,https://doi.org/10.1007/s11581-019-03033-1
61,https://doi.org/10.1016/j.electacta.2019.06.042
62,10.1021/acsami.7b04726
63,https://doi.org/10.1021/acs.nanolett.6b03296
64,https://doi.org/10.1016/j.jpowsour.2012.08.031
65,https://doi.org/10.1016/j.electacta.2019.06.119
66,10.1016/j.electacta.2019.06.119
67,10.1016/j.electacta.2019.06.119
68,10.1016/j.electacta.2019.06.119
69,10.1016/j.electacta.2019.06.119
70,doi:10.1016/j.electacta.2010.12.049
71,doi:10.1016/j.electacta.2010.12.049
72,https://doi.org/10.1016/j.jallcom.2019.152060
73,https://doi.org/10.1016/j.ceramint.2019.06.261
74,https://doi.org/10.1016/j.ensm.2018.12.004
